"ID";"Description";"Country";"SkillDescription";"Description";"Amount";"Rating"
"1";"Austin, Texas";"US";"bash";"program_languages";6;0,0387097
"2";"Austin, Texas";"US";"c++";"program_languages";24;0,154839
"3";"Austin, Texas";"US";"cassandra";"databases";2;0,0129032
"4";"Austin, Texas";"US";"d3";"analysis_software";4;0,0258065
"5";"Austin, Texas";"US";"excel";"analysis_software";29;0,187097
"6";"Austin, Texas";"US";"flume";"bigdata_tool";1;0,00645161
"7";"Austin, Texas";"US";"hadoop";"bigdata_tool";41;0,264516
"8";"Austin, Texas";"US";"hbase";"databases";4;0,0258065
"9";"Austin, Texas";"US";"hive";"bigdata_tool";8;0,0516129
"10";"Austin, Texas";"US";"java";"program_languages";43;0,277419
"11";"Austin, Texas";"US";"javascript";"program_languages";26;0,167742
"12";"Austin, Texas";"US";"matlab";"program_languages";16;0,103226
"13";"Austin, Texas";"US";"nosql";"databases";3;0,0193548
"14";"Austin, Texas";"US";"numpy";"analysis_software";2;0,0129032
"15";"Austin, Texas";"US";"oozie";"bigdata_tool";1;0,00645161
"16";"Austin, Texas";"US";"pandas";"analysis_software";17;0,109677
"17";"Austin, Texas";"US";"perl";"program_languages";3;0,0193548
"18";"Austin, Texas";"US";"pig";"bigdata_tool";17;0,109677
"19";"Austin, Texas";"US";"python";"program_languages";74;0,477419
"20";"Austin, Texas";"US";"r";"program_languages";59;0,380645
"21";"Austin, Texas";"US";"rdbms";"databases";1;0,00645161
"22";"Austin, Texas";"US";"ruby";"program_languages";2;0,0129032
"23";"Austin, Texas";"US";"sas";"analysis_software";8;0,0516129
"24";"Austin, Texas";"US";"scala";"program_languages";35;0,225806
"25";"Austin, Texas";"US";"spark";"bigdata_tool";41;0,264516
"26";"Austin, Texas";"US";"sql";"databases";50;0,322581
"27";"Austin, Texas";"US";"tableau";"analysis_software";22;0,141935
"28";"Chicago, Illinois";"US";"c++";"program_languages";7;0,0463576
"29";"Chicago, Illinois";"US";"cassandra";"databases";3;0,0198676
"30";"Chicago, Illinois";"US";"d3";"analysis_software";11;0,0728477
"31";"Chicago, Illinois";"US";"excel";"analysis_software";31;0,205298
"32";"Chicago, Illinois";"US";"hadoop";"bigdata_tool";25;0,165563
"33";"Chicago, Illinois";"US";"hbase";"databases";6;0,0397351
"34";"Chicago, Illinois";"US";"hive";"bigdata_tool";11;0,0728477
"35";"Chicago, Illinois";"US";"java";"program_languages";26;0,172185
"36";"Chicago, Illinois";"US";"javascript";"program_languages";2;0,013245
"37";"Chicago, Illinois";"US";"matlab";"program_languages";23;0,152318
"38";"Chicago, Illinois";"US";"numpy";"analysis_software";3;0,0198676
"39";"Chicago, Illinois";"US";"pandas";"analysis_software";4;0,0264901
"40";"Chicago, Illinois";"US";"perl";"program_languages";7;0,0463576
"41";"Chicago, Illinois";"US";"pig";"bigdata_tool";2;0,013245
"42";"Chicago, Illinois";"US";"python";"program_languages";83;0,549669
"43";"Chicago, Illinois";"US";"r";"program_languages";85;0,562914
"44";"Chicago, Illinois";"US";"ruby";"program_languages";1;0,00662252
"45";"Chicago, Illinois";"US";"sas";"analysis_software";50;0,331126
"46";"Chicago, Illinois";"US";"scala";"program_languages";13;0,0860927
"47";"Chicago, Illinois";"US";"spark";"bigdata_tool";21;0,139073
"48";"Chicago, Illinois";"US";"spotfire";"analysis_software";12;0,0794702
"49";"Chicago, Illinois";"US";"spss";"analysis_software";7;0,0463576
"50";"Chicago, Illinois";"US";"sql";"databases";72;0,476821
"51";"Chicago, Illinois";"US";"tableau";"analysis_software";26;0,172185
"52";"Detroit, Michigan";"US";"bash";"program_languages";2;0,0133333
"53";"Detroit, Michigan";"US";"c++";"program_languages";23;0,153333
"54";"Detroit, Michigan";"US";"d3";"analysis_software";10;0,0666667
"55";"Detroit, Michigan";"US";"excel";"analysis_software";36;0,24
"56";"Detroit, Michigan";"US";"flume";"bigdata_tool";2;0,0133333
"57";"Detroit, Michigan";"US";"hadoop";"bigdata_tool";45;0,3
"58";"Detroit, Michigan";"US";"hive";"bigdata_tool";24;0,16
"59";"Detroit, Michigan";"US";"java";"program_languages";38;0,253333
"60";"Detroit, Michigan";"US";"javascript";"program_languages";13;0,0866667
"61";"Detroit, Michigan";"US";"mahout";"bigdata_tool";12;0,08
"62";"Detroit, Michigan";"US";"matlab";"program_languages";24;0,16
"63";"Detroit, Michigan";"US";"mssql";"databases";10;0,0666667
"64";"Detroit, Michigan";"US";"pandas";"analysis_software";1;0,00666667
"65";"Detroit, Michigan";"US";"perl";"program_languages";2;0,0133333
"66";"Detroit, Michigan";"US";"pig";"bigdata_tool";17;0,113333
"67";"Detroit, Michigan";"US";"powerpoint";"analysis_software";2;0,0133333
"68";"Detroit, Michigan";"US";"python";"program_languages";52;0,346667
"69";"Detroit, Michigan";"US";"r";"program_languages";58;0,386667
"70";"Detroit, Michigan";"US";"rdbms";"databases";3;0,02
"71";"Detroit, Michigan";"US";"ruby";"program_languages";12;0,08
"72";"Detroit, Michigan";"US";"sas";"analysis_software";38;0,253333
"73";"Detroit, Michigan";"US";"scala";"program_languages";28;0,186667
"74";"Detroit, Michigan";"US";"shark";"bigdata_tool";18;0,12
"75";"Detroit, Michigan";"US";"spark";"bigdata_tool";49;0,326667
"76";"Detroit, Michigan";"US";"splunk";"analysis_software";1;0,00666667
